SurveyCaseid,date,weight,polltype,A003_rating,A003_ratinggp,v1,v3,WillVote,WillVotegp,OwnDistrictAny,KnowDistrict10,District10,District10gp,RealKnowDistrict10,District18,WongTaiSin,ShaTin,YuenLong,District10_2,sex,pob1,pob2,pob2_v2,pobgp,agegp_TP_7,agegp_TP_6,agegp_TP_5,agegp_TP,agegp2,agegp_2015,eduv2,edugp_TP,occv2,occgp,occv2_8881_others,v4_2019,inclin,v4_2019_8881_others,type,housingv2,housinggpv3,districtgp,marital,mid,midgp,civicactive
LC2016R1_000001,20211115,0.8418811,1,0,1,1,1,4,3,2,2,,,3,17,,,,9,2,2,24,3,2,6,5,5,6,3,3,2,2,5,5,,1,1,,2,1,1,5,2,4,2,2
LC2016R1_000002,20211115,1.4039724,2,0,1,1,1,1,1,1,1,8885,2,2,-99,,,,-99,2,1,,,1,2,1,1,2,1,1,5,3,1,1,,3,1,,-99,-99,-99,4,-99,-99,-99,2
LC2016R1_000003,20211115,0.8743398,2,85,4,1,1,1,1,1,1,8885,2,2,14,,,,9,1,2,40,4,2,6,5,5,6,3,3,3,2,3,3,,2,2,,1,3,3,5,2,4,2,2
LC2016R1_000004,20211115,0.9641175,2,50,3,1,2,8886,8886,2,2,,,3,7,,,,4,2,2,20,3,2,4,3,3,4,2,2,2,2,3,3,,8886,8886,,2,3,3,3,2,5,3,-99
LC2016R1_000005,20211115,1.1149228,2,0,1,1,1,1,1,2,1,7,1,1,,,,,7,1,1,,,1,3,2,2,3,2,2,3,2,3,3,,1,1,,2,3,3,4,1,5,3,2
LC2016R1_000006,20211115,1.4515082,2,0,1,1,1,3,3,2,1,-99,-99,-99,16,,,1,8,1,1,,,1,2,1,1,2,1,1,5,3,3,3,,3,1,,2,3,3,5,1,4,2,2
LC2016R1_000007,20211115,1.1178848,1,0,1,1,1,1,1,2,1,2,1,1,,,,,2,1,1,,,1,5,4,4,5,3,2,5,3,1,1,,8886,8886,,1,3,3,1,2,5,3,2
LC2016R1_000008,20211115,0.8973245,1,0,1,1,1,1,1,1,1,4,1,1,,,,,4,2,1,,,1,5,4,4,5,3,2,3,2,3,3,,8886,8886,,1,3,3,3,1,5,3,2
LC2016R1_000009,20211115,1.0185289,1,0,1,1,1,-99,-99,2,2,,,3,12,,,,6,2,1,,,1,5,4,4,5,3,2,3,2,5,5,,-99,-99,,-99,-99,-99,4,2,-99,-99,-99
LC2016R1_000010,20211115,1.0185289,1,0,1,1,2,4,3,2,1,6,1,1,,,,,6,2,1,,,1,5,4,4,5,3,2,2,2,6,6,,4,3,,1,2,2,4,1,4,2,2
LC2016R1_000011,20211115,1.2955285,1,0,1,1,1,4,3,2,1,8885,2,2,10,,,,7,2,2,20,3,2,4,3,3,4,2,2,3,2,5,5,,8888,8888,,2,1,1,4,2,3,1,1
LC2016R1_000012,20211115,0.4000000,1,100,5,1,1,4,3,2,2,,,3,6,,,,3,2,2,79,5,2,7,6,5,6,3,3,1,1,6,6,,8888,8888,,1,2,2,2,3,3,1,-99
LC2016R1_000013,20211115,1.3144987,1,0,1,1,1,8886,8886,2,2,,,3,17,,,,9,2,1,,,1,2,1,1,2,1,1,5,3,2,2,,8886,8886,,1,3,3,5,1,3,1,2
LC2016R1_000014,20211115,0.9862867,2,40,2,1,1,1,1,1,1,-99,-99,-99,-99,,,,-99,1,1,,,1,-99,-99,-99,-99,-99,-99,4,3,6,6,,4,3,,1,3,3,-99,2,2,1,2
LC2016R1_000015,20211115,1.2955285,1,10,2,1,1,8886,8886,2,1,8886,2,2,10,,,,7,2,2,15,2,2,4,3,3,4,2,2,3,2,2,2,,8886,8886,,2,1,1,4,2,4,2,2
LC2016R1_000016,20211115,1.5277654,1,95,4,1,1,1,1,2,1,8885,2,2,12,,,,6,1,1,,,1,4,3,3,4,2,2,5,3,1,1,,2,2,,1,3,3,4,1,3,1,2
LC2016R1_000017,20211115,0.5653615,1,85,4,1,1,1,1,2,1,9,1,1,,,,,9,2,2,8888,8888,2,7,6,5,6,3,3,2,2,6,6,,8886,8886,,2,1,1,5,3,5,3,-99
LC2016R1_000018,20211115,0.5855559,2,0,1,1,1,4,3,1,1,8885,2,2,6,,,,3,1,1,,,1,5,4,4,5,3,2,3,2,1,1,,1,1,,1,3,3,2,2,4,2,2
LC2016R1_000019,20211115,1.0936097,1,60,4,1,1,4,3,1,1,8885,2,2,-99,,,,-99,1,2,14,2,2,5,4,4,5,3,2,3,2,3,3,,4,3,,1,2,2,4,2,4,2,1
LC2016R1_000020,20211115,1.2348555,2,0,1,1,1,4,3,2,2,,,3,1,,,,2,2,1,,,1,3,2,2,3,2,2,5,3,1,1,,3,1,,1,4,3,1,1,4,2,2
LC2016R1_000021,20211115,1.0215208,2,0,1,1,1,3,3,2,1,8886,2,2,16,,,1,8,1,1,,,1,3,2,2,3,2,2,5,3,1,1,,3,1,,1,3,3,5,2,3,1,2
