SurveyCaseid,date,weight,polltype,A003_rating,A003_ratinggp,v1,v3,WillVote,WillVotegp,KnowDistrict10,District10,District10gp,RealKnowDistrict10,District18,WongTaiSin,ShaTin,YuenLong,District10_2,SupportAny,sex,pob1,pob2,pob2_v2,pobgp,agegp_TP_7,agegp_TP_6,agegp_TP_5,agegp_TP,agegp2,agegp_2015,eduv2,edugp_TP,occv2,occgp,occv2_8881_others,v4_2019,inclin,v4_2019_8881_others,type,housingv2,housinggpv3,districtgp,marital,mid,midgp,civicactive
LC2021R4_000001,20211129,0.8401058,2,10,2,1,1,3,3,2,,,3,5,1,,,3,2,1,1,,,1,2,1,1,2,1,1,5,3,4,4,,3,1,,2,3,3,2,1,4,2,1
LC2021R4_000002,20211129,0.877793,1,0,1,1,1,8886,8886,1,2,1,1,,,,,2,2,2,1,,,1,6,5,5,6,3,3,5,3,6,6,,1,1,,1,3,3,1,2,3,1,2
LC2021R4_000003,20211129,1.4536003,2,0,1,1,1,4,3,1,8885,2,2,16,,,2,7,2,1,1,,,1,2,1,1,2,1,1,5,3,1,1,,1,1,,1,2,2,5,1,5,3,1
LC2021R4_000004,20211129,0.8689405,1,0,1,1,1,4,3,1,8885,2,2,12,,,,6,2,1,2,15,2,2,5,4,4,5,3,2,4,3,2,2,,1,1,,2,1,1,4,2,5,3,2
LC2021R4_000005,20211129,0.8044148,2,60,4,1,2,1,1,1,3,1,1,,,,,3,1,2,1,,,1,4,3,3,4,2,2,2,2,2,2,,4,3,,1,2,2,2,2,2,1,2
LC2021R4_000006,20211129,0.8650532,2,60,4,1,1,2,1,1,8885,2,2,4,,,,2,2,1,1,,,1,6,5,5,6,3,3,5,3,6,6,,8886,8886,,2,3,3,1,2,3,1,2
LC2021R4_000007,20211129,1.4209904,1,10,2,1,1,4,3,1,1,1,1,,,,,1,2,2,1,,,1,2,1,1,2,1,1,5,3,1,1,,1,1,,1,3,3,1,1,3,1,2
LC2021R4_000008,20211129,0.8044148,1,50,3,1,1,1,1,1,-99,-99,-99,6,,,,3,8888,2,2,40,4,2,4,3,3,4,2,2,5,3,5,5,,8886,8886,,2,3,3,2,2,4,2,2
LC2021R4_000009,20211129,0.8543979,1,0,1,1,1,4,3,1,8885,2,2,3,,,,1,8888,2,2,40,4,2,6,5,5,6,3,3,2,2,5,5,,8886,8886,,2,1,1,1,3,5,3,2
LC2021R4_000010,20211129,0.8483303,2,50,3,1,2,4,3,1,8885,2,2,15,,,,8,2,1,2,40,4,2,5,4,4,5,3,2,3,2,3,3,,8886,8886,,1,2,2,5,2,3,1,2
LC2021R4_000011,20211129,1.5474224,2,100,5,1,1,4,3,1,8885,2,2,5,2,,,5,8888,1,1,,,1,6,5,5,6,3,3,3,2,3,3,,8886,8886,,1,2,2,2,2,5,3,2
