SurveyCaseid,date,weight,polltype,A003_rating,A003_ratinggp,v1,v3,WillVote,WillVotegp,KnowDistrict10,District10,District10gp,RealKnowDistrict10,District18,WongTaiSin,ShaTin,YuenLong,District10_2,LC1,LC1gp,LC2,LC2gp,LC3,LC3gp,LC4,LC4gp,LC5,LC5gp,LC6,LC6gp,LC7,LC7gp,LC8,LC8gp,LC9,LC9gp,LC10,LC10gp,LCunknown,LCvote,WhyCandidateA,WhyCandidateB,SupportAny,FollowForum,Campaign_b,Campaign_c,Campaign_d,Campaign_e,Campaign_f,Campaign_g,CampaignEffect_a,CampaignEffect_agp,CampaignEffect_b,CampaignEffect_bgp,CampaignEffect_c,CampaignEffect_cgp,CampaignEffect_d,CampaignEffect_dgp,CampaignEffect_e,CampaignEffect_egp,CampaignEffect_f,CampaignEffect_fgp,CampaignEffect_g,CampaignEffect_ggp,AffectWillVote_a,AffectWillVote_b,sex,pob1,pob2,pob2_v2,pobgp,agegp_TP_7,agegp_TP_6,agegp_TP_5,agegp_TP,agegp2,agegp_2015,eduv2,edugp_TP,occv2,occgp,occv2_8881_others,v4_2019,inclin,v4_2019_8881_others,type,housingv2,housinggpv3,districtgp,marital,mid,midgp,civicactive
LC2021R6_000001,20211209,1.3108380,2,50,3,1,2,1,1,1,8885,2,2,17,,,,9,,,,,,,,,,,,,,,,,2,1,,,,1,1,3,1,3,1,1,1,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,8889,8889,2,2,1,1,,,1,5,4,4,5,3,2,2,2,1,1,,2,2,,2,1,1,5,1,8888,8888,2
LC2021R6_000002,20211209,0.9024963,2,0,1,1,1,1,1,1,8885,2,2,18,,,,2,,,8888,8888,,,,,,,,,,,,,,,,,,8888,,,1,1,2,1,2,1,2,2,3,1,3,1,3,1,3,1,3,1,4,4,3,1,3,3,1,1,,,1,2,1,1,2,1,1,5,3,1,1,,3,1,,1,3,3,5,1,3,1,1
LC2021R6_000003,20211209,1.2114916,2,30,2,1,1,2,1,2,,,3,14,,,,9,,,,,,,,,,,,,,,,,-99,-99,,,,-99,,,1,2,2,2,2,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,2,2,39,3,2,5,4,4,5,3,2,2,2,3,3,,2,2,,2,1,1,5,2,5,3,1
LC2021R6_000004,20211209,0.4966503,1,100,5,1,1,1,1,1,8885,2,2,8,,,,4,,,,,,,3,1,,,,,,,,,,,,,,1,2,1,8888,1,2,2,2,2,2,2,8888,8888,4,4,4,4,4,4,4,4,3,1,4,4,1,8888,2,5,41,4,8881,7,6,5,6,3,3,4,3,5,5,,2,2,,1,3,3,3,3,4,2,2
LC2021R6_000005,20211209,0.5330566,1,80,4,1,1,1,1,1,8,1,1,,,,,8,,,,,,,,,,,,,,,8888,8888,,,,,,8888,,,1,2,2,2,1,2,2,2,3,1,4,4,4,4,3,1,4,4,8889,8889,3,1,1,2,2,2,60,5,2,7,6,5,6,3,3,1,1,6,6,,4,3,,1,2,2,5,2,5,3,2
LC2021R6_000006,20211209,0.9645862,1,50,3,1,1,1,1,1,8885,2,2,14,,,,9,,,,,,,,,,,,,,,,,3,1,,,,1,2,2,1,2,2,2,1,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,1,,,1,6,5,5,6,3,3,1,1,5,5,,2,2,,2,1,1,5,3,4,2,2
LC2021R6_000007,20211209,0.4565571,2,40,2,1,1,3,3,1,8885,2,2,18,,,,2,,,8886,8886,,,,,,,,,,,,,,,,,,8886,,,2,1,2,2,2,1,2,2,2,1,2,1,4,4,4,4,4,4,4,4,4,4,2,3,2,1,,,1,7,6,5,6,3,3,5,3,6,6,,1,1,,1,3,3,5,1,3,1,2
LC2021R6_000008,20211209,0.8961545,2,50,3,1,1,8886,8886,1,8885,2,2,1,,,,2,,,8888,8888,,,,,,,,,,,,,,,,,,8888,,,2,4,2,1,1,2,2,2,2,1,2,1,3,1,3,1,3,1,4,4,4,4,2,2,2,1,,,1,5,4,4,5,3,2,5,3,1,1,,8886,8886,,1,3,3,1,1,3,1,2
LC2021R6_000009,20211209,2.0913669,1,1,2,1,1,4,3,1,8885,2,2,13,,1,,6,,,,,,,,,,,8886,8886,,,,,,,,,,8886,,,2,2,1,1,1,1,2,1,3,1,3,1,3,1,2,1,3,1,4,4,3,1,3,3,2,1,,,1,2,1,1,2,1,1,5,3,4,4,,3,1,,1,3,3,4,1,4,2,1
LC2021R6_000010,20211209,1.1347441,2,50,3,1,1,2,1,2,,,3,13,,1,,6,,,,,,,,,,,8888,8888,,,,,,,,,,8888,,,2,3,2,2,2,1,2,2,4,4,3,1,3,1,3,1,4,4,4,4,4,4,2,2,2,2,7,2,2,3,2,2,3,2,2,4,3,2,2,,8886,8886,,2,3,3,4,2,4,2,2
LC2021R6_000011,20211209,1.0547926,2,0,1,1,1,4,3,1,4,1,1,,,,,4,,,,,,,8886,8886,,,,,,,,,,,,,,8886,,,2,4,2,2,2,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,1,1,,,1,5,4,4,5,3,2,5,3,1,1,,2,2,,1,3,3,3,2,5,3,2
LC2021R6_000012,20211209,0.5024907,2,40,2,1,1,1,1,1,4,1,1,,,,,4,,,,,,,3,1,,,,,,,,,,,,,,1,1,8888,2,1,2,2,2,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1,1,,,1,7,6,5,6,3,3,3,2,6,6,,8886,8886,,1,2,2,3,3,4,2,2
LC2021R6_000013,20211209,0.9696422,2,50,3,1,1,8886,8886,-99,,,-99,4,,,,2,,,8888,8888,,,,,,,,,,,,,,,,,,8888,,,2,4,2,1,1,1,2,2,4,4,3,1,4,4,4,4,4,4,4,4,3,1,2,1,1,1,,,1,5,4,4,5,3,2,1,1,3,3,,3,1,,2,1,1,1,2,5,3,2
LC2021R6_000014,20211209,0.9497570,1,0,1,1,1,8886,8886,1,1,1,1,,,,,1,8888,8888,,,,,,,,,,,,,,,,,,,,8888,,,2,4,1,1,1,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,1,1,,,1,6,5,5,6,3,3,5,3,6,6,,1,1,,1,3,3,1,2,3,1,2
LC2021R6_000015,20211209,0.8453041,2,80,4,1,1,1,1,2,,,3,9,,,,5,,,,,,,,,8888,8888,,,,,,,,,,,,8888,,,1,2,8888,8888,2,2,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,37,3,2,7,6,5,6,3,3,2,2,6,6,,8888,8888,,2,1,1,3,3,5,3,2
LC2021R6_000016,20211209,0.6244676,2,60,4,1,1,2,1,1,8885,2,2,14,,,,9,,,,,,,,,,,,,,,,,2,1,,,,1,1,3,2,2,1,2,1,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1,2,63,5,2,7,6,5,6,3,3,1,1,6,6,,4,3,,2,1,1,5,2,5,3,2
LC2021R6_000017,20211209,0.8552444,1,0,1,1,1,3,3,1,5,1,1,,,,,5,,,,,,,,,8886,8886,,,,,,,,,,,,8886,,,2,2,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1,1,,,1,7,6,5,6,3,3,2,2,6,6,,8886,8886,,1,3,3,3,2,3,1,2
LC2021R6_000018,20211209,1.1632123,1,0,1,1,1,3,3,2,,,3,3,,,,1,8886,8886,,,,,,,,,,,,,,,,,,,,8886,,,2,3,1,1,1,1,2,2,4,4,3,1,4,4,4,4,4,4,3,1,4,4,3,3,2,1,,,1,3,2,2,3,2,2,5,3,1,1,,1,1,,1,3,3,1,2,3,1,2
LC2021R6_000019,20211209,0.5446750,1,20,2,1,1,4,3,1,8885,2,2,6,,,,3,,,,,8886,8886,,,,,,,,,,,,,,,,8886,,,2,2,1,2,1,1,1,2,4,4,4,4,4,4,4,4,4,4,3,1,4,4,2,2,1,2,62,5,2,7,6,5,6,3,3,3,2,6,6,,4,3,,1,2,2,2,2,4,2,2
